,0,1,2,3,4,,,,,,
Andaman and Nicobar Islands,andaman,nikobar,andaman,,,,Andaman and Nicobar Islands,andaman,,,
Andhra Pradesh,andhra,andra pradesh,andhrapradesh,andhra pradesh,,,Andaman and Nicobar Islands,nikobar,,,
Arunachal Pradesh,arunachal,arunachal pradesh,arunachalpradesh,,,,Andaman and Nicobar Islands,andaman,,,
Assam,assam,aasam,asaam,aasaam,,,Andhra Pradesh,andhra,,andhrapradesh,andhra pradesh
Bihar,bihar,bihaar,,,,,Andhra Pradesh,andra pradesh,,,
Chandigarh,chandigarh,chandigad,,,,,Andhra Pradesh,andhrapradesh,,,
Chhattisgarh,chattisgarh,chattisgad,chhattisgarh,chhattisgad,,,Andhra Pradesh,andhra pradesh,,,
Dadra and Nagar Haveli,Dadra and Nagar Haveli,Dadra and Nagar Haveli,,,,,Arunachal Pradesh,arunachal,,arunachalpradesh,
Daman and Diu,daman,diu,,,,,Arunachal Pradesh,arunachal pradesh,,,
Goa,goa,,,,,,Arunachal Pradesh,arunachalpradesh,,,
Gujarat,gujrat,gujarat,,,,,Assam,assam,,,
Haryana,haryana,,,,,,Assam,aasam,,,
Himachal Pradesh,himachal,himachal pradesh,himachalpradesh,,,,Assam,asaam,,,
Jammu and Kashmir,jammu,kashmir,jammu & kashmir,,,,Assam,aasaam,,,
Jharkhand,jharkhand,,,,,,Bihar,bihar,,,
Karnataka,karnataka,,,,,,Bihar,bihaar,,,
Kerala,kerla,kerala,,,,,Chandigarh,chandigarh,,,
Lakshadweep,lakshadweep,lakshadveep,lakshadwip,lakshadvip,,,Chandigarh,chandigad,,,
Madhya Pradesh,madhya pradesh,madhyapradesh,,,,,Chhattisgarh,chattisgarh,,,
Maharashtra,maharashtra,maha rashtra,,,,,Chhattisgarh,chattisgad,,,
Manipur,manipur,,,,,,Chhattisgarh,chhattisgarh,,,
Meghalaya,meghalay,,,,,,Chhattisgarh,chhattisgad,,,
Mizoram,mizoram,mijhoram,,,,,Dadra and Nagar Haveli,Dadra and Nagar Haveli,,,
Nagaland,nagaland,,,,,,Dadra and Nagar Haveli,Dadra and Nagar Haveli,,,
NCT of Delhi,delhi,nct of delhi,delli,dilli,dilli,,Daman and Diu,daman,,,
Odisha,odisa,,,,,,Daman and Diu,diu,,,
Puducherry,pondicherry,puducherry,,,,,Goa,goa,,,
Punjab,punjab,,,,,,Gujarat,gujrat,,,
Rajasthan,rajasthan,rajastan,,,,,Gujarat,gujarat,,,
Sikkim,sikkim,,,,,,Haryana,haryana,,,
Tamil Nadu,tamilnadu,tamil nadu,,,,,Himachal Pradesh,himachal,,,
Tripura,tripura,,,,,,Himachal Pradesh,himachal pradesh,,,
Uttar Pradesh,uttarpradesh,uttar pradesh,,,,,Himachal Pradesh,himachalpradesh,,,
Uttarakhand,uttarakhand,,,,,,Jammu and Kashmir,jammu,,,
West Bengal,west bengal,bengal state,,,,,Jammu and Kashmir,kashmir,,,
,,,,,,,Jammu and Kashmir,jammu & kashmir,,,
,,,,,,,Jharkhand,jharkhand,,,
,,,,,,,Karnataka,karnataka,,,
,,,,,,,Kerala,kerla,,,
,,,,,,,Kerala,kerala,,,
,,,,,,,Lakshadweep,lakshadweep,,,
,,,,,,,Lakshadweep,lakshadveep,,,
,,,,,,,Lakshadweep,lakshadwip,,,
,,,,,,,Lakshadweep,lakshadvip,,,
,,,,,,,Madhya Pradesh,madhya pradesh,,,
,,,,,,,Madhya Pradesh,madhyapradesh,,,
,,,,,,,Maharashtra,maharashtra,,,
,,,,,,,Maharashtra,maha rashtra,,,
,,,,,,,Manipur,manipur,,,
,,,,,,,Meghalaya,meghalay,,,
,,,,,,,Mizoram,mizoram,,,
,,,,,,,Mizoram,mijhoram,,,
,,,,,,,Nagaland,nagaland,,,
,,,,,,,NCT of Delhi,delhi,,,
,,,,,,,NCT of Delhi,nct of delhi,,,
,,,,,,,NCT of Delhi,delli,,,
,,,,,,,NCT of Delhi,dilli,,,
,,,,,,,NCT of Delhi,dilli,,,
,,,,,,,Odisha,odisa,,,
,,,,,,,Odisha,odisha,,,
,,,,,,,Puducherry,pondicherry,,,
,,,,,,,Puducherry,puducherry,,,
,,,,,,,Punjab,punjab,,,
,,,,,,,Punjab,panjab,,,
,,,,,,,Rajasthan,rajasthan,,,
,,,,,,,Rajasthan,rajastan,,,
,,,,,,,Sikkim,sikkim,,,
,,,,,,,Sikkim,sikim,,,
,,,,,,,Tamil Nadu,tamilnadu,,,
,,,,,,,Tamil Nadu,tamil nadu,,,
,,,,,,,Tripura,tripura,,,
,,,,,,,Uttar Pradesh,uttarpradesh,,,
,,,,,,,Uttar Pradesh,uttar pradesh,,,
,,,,,,,Uttarakhand,uttarakhand,,,
,,,,,,,West Bengal,west bengal,,,
,,,,,,,West Bengal,bengal state,,,
,,,,,,,West Bengal,bangal state,,,
,,,,,,,West Bengal,west bangal,,,
